ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q748,"How many cases per week trigger the alert threshold for bacterial meningitis outbreaks in populations between 30,000 and 100,000 inhabitants?","For populations between 30,000 and 100,000 inhabitants, an attack rate of 3 cases per 100,000 inhabitants per week (minimum of 2 cases in one week) triggers the alert threshold.",TG Booklet 6,144,"Alert Threshold: Bacterial Meningitis, Population Criteria"
Q719,How should data for Anthrax surveillance be analyzed and interpreted?,"Data should be analyzed over time, place, and person. Time analysis includes graphs of suspected/probable/confirmed cases by date. Place analysis involves mapping cases by geographical area. Person analysis includes a table showing cases by date, age, and sex.",TG Booklet 6,138,"Anthrax Data Analysis: Time, Place, Person, Interpretation"
Q172,How is data from time-based analysis typically represented?,"Data from time-based analysis is usually shown on a graph, with the number or rate of cases or deaths on the vertical axis and the time period on the horizontal axis.",TG Booklet 2,784,"Time-based Data Analysis Representation, Graphs"
Q766,Why is early detection of Chikungunya cases important?,"Early detection of Chikungunya cases is crucial to implement timely interventions, prevent further transmission, and improve patient outcomes.",TG Booklet 6,155,Chikungunya: Importance Of Early Detection
Q1069,Why is sentinel surveillance essential in estimating trends in larger populations?,"Sentinel surveillance is crucial for estimating trends in larger populations as it monitors the rate of occurrence of priority events in specific cohorts, such as geographical areas or population subgroups.",TG Booklet 1,82,"Sentinel Surveillance, Estimating Trends, Larger Populations, Priority Events, Specific Cohorts"
Q387,"Where in the outbreak investigation process is the analysis of data about the outbreak repeated many times, and why is this repetition necessary?","The analysis of data about the outbreak is repeated multiple times during the course of an outbreak (322). This repetition is necessary to summarize the outbreak, identify clues, understand its spread, determine the source, and assess persons at risk (322).",TG Booklet 3,322,"Data Analysis Repetition, Outbreak Course, Summarize, Identify Clues, Understand Spread, Determine Source, Assess Risk"
Q712,"Compare the potential causes of AEFI, and which of them requires remedial action?","Potential Causes: True product reaction, product defect, immunization error, immunization stress-related response, coincidental health event. Remedial Action: If a product- or immunization error-related problem is identified, take action to prevent recurrence.",TG Booklet 6,133,"AEFI Causes, Remedial Action: Types, Response"
Q1228,When should the completeness of reporting sites and case reporting be assessed?,The completeness of reporting sites and case reporting should be assessed periodically to provide trend analysis and identify performance issues or discrepancies between reported cases and actual cases.,TG Booklet 4,229-234,"Completeness Assessment, Reporting Sites, Case Reporting, Periodic Assessment, Trend Analysis, Performance Issues, Case Discrepancies"
Q939,What actions are recommended for public health in response to maternal deaths?,"Recommended public health actions include investigating every death of a woman of reproductive age to rule out pregnancy status, conducting surveillance not only in labor wards but also in the community, and implementing evidence-based interventions to address socio-cultural norms.",TG Booklet 6,224,"Maternal Death Public Health Actions, Investigation, Woman Of Reproductive Age Death, Pregnancy Status, Community Surveillance, Labor Wards Surveillance, Evidence-based Interventions, Socio-cultural Norms"
Q942,How do maternal mortality levels in sub-Saharan Africa compare to industrialized countries?,"Maternal mortality levels in sub-Saharan Africa are much higher, with a woman’s lifetime risk of maternal death at 1 in 22, compared to 1 in 8,000 in industrialized countries.",TG Booklet 6,224,"Maternal Mortality Levels, Sub-saharan Africa, Industrialized Countries, Comparison"
Q290,Why is prompt verification of suspected outbreaks or events important?,"Prompt verification of suspected outbreaks or events is important (Section 4.0) to ensure effective use of human, logistic, and financial resources. It helps determine if conditions suggest a true outbreak or event, allowing for timely and appropriate response measures.",TG Booklet 3,201,"Verification Importance, Suspected Outbreaks, Events, Effective Resource Use, Conditions, Response Measures"
Q112,How can the One Health approach strengthen reporting and involvement from various sectors?,"The One Health approach can strengthen reporting, with effective involvement from human, animal, and environmental health sectors, as well as other relevant sectors.",TG Booklet 2,651,"One Health Approach, Reporting, Human, Animal, Environmental Health Sectors"
Q785,"How do the attack rates among different age groups compare in Bacterial Meningitis, Chikungunya, and Buruli Ulcer?","Attack rates are highest among children aged less than 15 years in Bacterial Meningitis, while the text does not provide specific information on age-related attack rates for Chikungunya and Buruli Ulcer.",TG Booklet 6,"142, 154","Attack Rates: Bacterial Meningitis, Chikungunya, BU"
Q24,What is the role of a Case Based Surveillance Focal person?,"When the number of VHCs is large, coordination may pose challenges, hence t he district may apppoint a CBS Focal supervisor to oversee a specific number of VHCs.",TG Booklet 1,483,"Case-based Surveillance Focal Person, District, Coordination, Notification, Health Risk."
Q461,Compare the purposes and criteria for conducting a register review with those of the District log of suspected outbreaks and alerts.,"The register review (Annex 4D) is conducted specifically to collect information on cases admitted to health facilities, focusing on determining the cause of outbreaks or increases in cases. In contrast, the District log (Annex 4A) records suspected outbreaks, alerts, or unexplained events, including initial cases, deaths, and response activities. While the register review targets inpatient facilities, the log captures broader surveillance data from various sources. Both serve different but complementary roles in outbreak investigation.",TG Booklet 3,"419, 411","Register Review, District Log, Purposes, Criteria, Cases Admitted, Cause Determination, Inpatient Facilities, Epidemiological Data"
Q93,"What should be done when a public health event occurs, and laboratory confirmation takes place?","The laboratory where confirmation took place should report the results as soon as confirmation is done to the respective health facility, IDSR focal person, and simultaneously to the national and district levels.",TG Booklet 2,643,"Public Health Event, Laboratory Confirmation, Reporting Results, Health Facility, IDSR Focal Person, National Level"
Q1090,When was the IDSR strategy adopted by WHO AFRO member states?,The IDSR strategy was adopted by WHO AFRO member states in September 1998.,TG Booklet 1,102,"IDSR, Adopted, September 1998"
Q363,Which information should be recorded on the line list register for each new case during an outbreak investigation?,"The line list register should include basic data for cases and potential cases, such as the patient’s name, physical address, age, sex, date of onset of symptoms, date first seen at the health facility, and status (dead or alive).",TG Booklet 3,311,"Line List Register Information, Basic Case Data, Patient Information, Onset Of Symptoms, Health Facility Date, Status"
Q634,"Does the TG include PCI as an abbreviation, and what does it stand for?",Project Concern International,TG Booklet 6,106,Project Concern International
Q435,"Which factors should a regular risk assessment cover when conducted after an outbreak is confirmed, and why is this assessment important?","A regular risk assessment should cover factors such as population susceptibility, potential spread, risk of transmission, morbidity, mortality, and seasonal considerations. This assessment is important to focus interventions, evaluate the risk of further transmission, and guide control measures throughout different stages of the outbreak.",TG Booklet 3,396-398,"Risk Assessment Factors, Regular Conduct, Outbreak Confirmed, Population Susceptibility, Spread, Transmission Risk, Control Measures"
Q1227,What tools or methods are recommended for monitoring the timeliness of reporting in the context of IDSR?,"Recommended tools or methods include using a monitoring tool such as the one in Annex 8F to measure submission of reports by reporting units, identify which units have reported, and measure how many reports were timely, thereby ensuring effective monitoring.",TG Booklet 4,222-226,"Tools, Methods, Timeliness Monitoring, Reporting, IDSR, Monitoring Tool, Annex 8F, Reporting Units, Effective Monitoring"
Q175,Why is it important to highlight significant events on a histogram?,"Highlighting events on a histogram allows users to answer questions about the outbreak, such as exposure timing, incubation period, source type, detection-to-confirmation duration, and transmission pattern.",TG Booklet 2,803,"Highlighting Significant Events On Histograms, Epidemic Curve Interpretation"
Q818,"Why is it crucial to screen high-risk patients for diabetes, and who should be involved in analyzing trends in diabetes cases?",Screening high-risk patients is crucial for early detection and intervention. Analyzing trends involves health professionals and authorities to assess the effectiveness of prevention and control measures.,TG Booklet 6,166,Screening High-risk Patients For Diabetes
Q883,How should data on influenza caused by a new subtype be analyzed and interpreted?,"Data should be managed using a line list, and procedures for record-keeping and data validation should be established. Analysis involves constructing an epidemic curve, mapping cases by geographical location, understanding the clinical spectrum and disease dynamics, and assessing various epidemiological and clinical parameters. Data on age, sex, occupation, exposure history, and chronic pre-existing medical illnesses should be collected and analyzed. Laboratory data, including the number of samples tested, proportion of positive samples, virus types and subtypes, and antiviral resistance results, should also be considered.",TG Booklet 6,191,"Data Analysis, Interpretation, New Subtype Influenza, Line List Management, Record-keeping, Data Validation, Epidemic Curve Construction, Case Mapping, Clinical Spectrum Understanding, Disease Dynamic Assessment, Epidemiological/clinical Parameter Assessment, Age/sex/occupation/exposure/chronic Illness Data Collection, Laboratory Data Analysis, Sample Testing, Virus Type/subtype Identification, Antiviral Resistance Assessment"
Q519,Does the TG contain case definitions for Bacterial Meningitis?,"Yes, Page 24 of TG Booklet 6 Section 11",TG Booklet 6,22,"TG, Bacterial Meningitis, Case Definitions, Page 24, Booklet 6, Section 11"
Q585,"What does CEBS stand for, and where can I find its meaning in the TG?",Community Event Based Surveillance,TG Booklet 6,106,"CEBS, Community Event Based Surveillance, TG Meaning"
Q594,"Is there information about DHIS2 as an abbreviation in the TG, and what does it stand for?","Yes, District Health Information System version 2",TG Booklet 6,106,"DHIS2, District Health Information System Version 2, TG Abbreviation"
Q537,Does the TG contain case definitions for Lymphatic Filariasis?,"Yes, Page 96 of TG Booklet 6 Section 11",TG Booklet 6,40,"TG, Lymphatic Filariasis, Case Definitions, Page 96, Booklet 6, Section 11"
Q875,What is the standard case definition for suspected and confirmed cases of hypertension?,A suspected new case at the first visit is defined as any individual presenting with a resting blood pressure measurement at or above 140 mm Hg for systolic pressure or greater than or equal to 90 mm Hg for diastolic pressure. A confirmed case is any individual presenting on at least two occasions with a resting blood pressure measurement at or above 140 mm Hg for systolic pressure or greater than or equal to 90 mm Hg for diastolic pressure. Only the first diagnosis of the case is reported in the health center.,TG Booklet 6,188,"Hypertension Case Definition, Suspected New Case, First Visit, Blood Pressure Measurement, Confirmed Case, Repeated Measurement"
Q114,Which platforms are emphasized for ideal information sharing within and between sectors under the One Health approach?,"Interoperable and interconnected platforms are emphasized, strengthening information systems within and between human, animal, and environmental sectors for enhanced real-time information sharing.",TG Booklet 2,653,"One Health Approach, Interoperable, Information Sharing, Human, Animal, Environmental Sectors"
Q215,What triggers a response in surveillance for bacterial meningitis in the meningitis belt?,"In the meningitis belt, a response is triggered when the number of suspected cases reaches the epidemic threshold, which is 10 cases per 30,000 - 100,000 inhabitants per week or 5 suspected cases in one week for populations under 30,000, or a doubling of cases in a three-week period (with a minimum of 2 cases in one week).",TG Booklet 2,888,"Bacterial Meningitis, Meningitis Belt, Response, Epidemic Threshold, Suspected Cases, Inhabitants, Doubling Of Cases"
Q90,How should District Health Offices organize community-based surveillance focal points?,"District Health Offices should work with community leaders to identify key informants, provide training and job aids on priority diseases, involve community volunteers in risk mapping and emergency exercises, ensure regular feedback from CBS, and disseminate alert and epidemic thresholds.",TG Booklet 2,634-639,"Organizing CBS Focal Points, District Health Offices, Community Leaders, Training, Job Aids, Risk Mapping, Emergency Exercises, Feedback, Alert Thresholds"
Q379,Why is it necessary to refine hypotheses based on the results of analytic studies?,Refining hypotheses based on analytic study results is essential for drawing accurate conclusions and improving the understanding of the outbreak causes and risk factors.,TG Booklet 3,362,"Refine Hypotheses, Analytic Study Results, Accurate Conclusions, Understanding Causes, Risk Factors"
Q158,"What is the role of health facility levels in surveillance, and what forms are commonly used?","Health facility levels, including in-patient and out-patient departments, are surveillance sites. Standard forms like Weekly and Monthly IDSR Summary Reporting Forms, Case-based Investigation forms, and Line listing forms are commonly used.",TG Booklet 2,751,"Health Facility Levels, Surveillance Sites, Standard Forms, Weekly And Monthly IDSR Summary Reporting Forms, Case-based Investigation Forms, Line Listing Forms"
Q355,Contrast immediate isolation with standard precaution in managing cases during an infectious disease outbreak.,"Immediate isolation may be required for suspected diseases to protect staff, patients, and the community, ensuring cases have access to facilities. Standard precaution involves applying precautions uniformly to all patients in the health facility and community, especially during an infectious disease outbreak.",TG Booklet 3,"299, 300","Immediate Isolation, Standard Precaution, Managing Cases, Infectious Disease Outbreak, Staff Protection, Uniform Precautions"
Q170,How is place-based analysis conducted?,Cases are plotted on a map to identify clusters or relationships with the health event being investigated. Dot density analysis can be used to depict case distribution by geographic location.,TG Booklet 2,782,"Place-based Analysis Process, Mapping Cases, Dot Density Analysis"
Q823,"What is the estimated global prevalence of diabetes in 2030, and why is it important to implement evidence-based guidelines in clinical preventive measures?",The estimated global prevalence of diabetes in 2030 is projected at 4.8%. Implementing evidence-based guidelines in clinical preventive measures is crucial for effective management and reduction of diabetes cases.,TG Booklet 6,165,Diabetes Global Prevalence In 2030
Q271,What led to the development of the Integrated Disease Surveillance and Response (IDSR) strategy?,"The development of the Integrated Disease Surveillance and Response (IDSR) strategy was prompted by a strategy adopted by the World Health Organization (WHO) Regional Office for Africa (AFRO) in 1998. Initially called integrated disease surveillance (IDS), it was later renamed IDSR to emphasize the connection between surveillance and response. Malawi adopted the first edition of the IDSR technical guidelines in 2005.",TG Booklet 3,145,"Integrated Disease Surveillance And Response, IDSR, WHO, AFRO, 1998, Adoption, Guidelines"
Q671,Where should specimens from suspected VHF patients be handled and transported?,"With extreme caution, wearing protective clothing and full PPE; refrigerate or freeze specimens based on the test.",TG Booklet 6,123,"With Extreme Caution, Wearing Protective Clothing And Full PPE; Refrigerate Or Freeze Specimens Based On The Test."
Q533,Does the TG contain case definitions for Influenza-like Illness (ILI)?,"Yes, Page 83 of TG Booklet 6 Section 11",TG Booklet 6,36,"TG, Influenza-like Illness (ILI), Case Definitions, Page 83, Booklet 6, Section 11"
Q780,"When is antibiotic prophylaxis not recommended during Bacterial Meningitis epidemics, and why?",Antibiotic prophylaxis is not recommended during Bacterial Meningitis epidemics in the meningitis belt. The text does not provide a specific reason for this recommendation.,TG Booklet 6,142,Antibiotic Prophylaxis: Bacterial Meningitis
Q151,What is the role of the Assistant Statistician/IDSR Focal Person upon receiving data?,"The Assistant Statistician/IDSR Focal Person should acknowledge receipt of the data, log it in a designated book, record relevant details, verify timeliness, check completeness, review data quality, and address any discrepancies.",TG Booklet 2,753-764,"Assistant Statistician/idsr Focal Person, Data Receipt, Acknowledgment, Data Logging, Verification, Data Quality, Discrepancies"
Q1155,Which functions are included in the coordinator's role at the national level during acute crises?,"Functions include dedicated technical oversight, coordinating surveillance and outbreak response activities, guiding coordination of health workers and partners, supporting investigation and response to public health events, and conducting regular analysis and production of reports.",TG Booklet 5,128-135,"Coordinator Functions, Technical Oversight, Surveillance, Outbreak Response, Health Workers, Partners Coordination, Investigation, Public Health Events, Analysis, Reports"
Q682,What are the case definitions for suspected and confirmed acute viral hepatitis?,Suspected: Acute onset of illness with signs/symptoms of an acute infectious illness and liver damage; Confirmed: Laboratory-confirmed by virus-specific biomarkers.,TG Booklet 6,127,Suspected: Acute Onset Of Illness With Signs/symptoms Of An Acute Infectious Illness And Liver Damage; Confirmed: Laboratory-confirmed By Virus-specific Biomarkers.
Q404,Contrast the purposes of a line list register and a case-based surveillance reporting form in outbreak investigations. How do they complement each other in recording information about cases?,"A line list register records basic data for identified cases, while a case-based surveillance reporting form captures detailed information about each case, such as patient details, onset of symptoms, and relevant risk factors.",TG Booklet 3,"310, 311","Line List Register, Case-based Surveillance Reporting Form, Recording Case Information, Outbreak Investigations, Basic Data, Detailed Information"
Q1174,What support functions are essential for optimizing disease surveillance and outbreak response in crisis-affected populations?,"Essential support functions include adapting IDSR guidelines, training of health workers and rapid response teams, support to communication, regular supervision, and periodic evaluation to improve surveillance system performance.",TG Booklet 5,219-225,"Support Functions, Disease Surveillance, Outbreak Response, Crisis Affected Populations, IDSR Guidelines, Training, Health Workers, Rapid Response Teams, Communication Support, Supervision, Periodic Evaluation"
Q1008,What are the main causes of neonatal deaths globally?,"The three main causes of neonatal deaths globally are birth asphyxia, prematurity, and neonatal infections, accounting for about 80% of the deaths.",TG Booklet 6,245,"Neonatal Deaths, Causes, Birth Asphyxia, Prematurity, Infections"
Q742,Compare the primary causative agents of bacterial meningitis in children.,"Neisseria meningitidis, Haemophilus influenzae type b (Hib), and Streptococcus pneumoniae constitute the majority of bacterial meningitis cases in children.",TG Booklet 6,143,Bacterial Meningitis Primary Agents: Children Causative Pathogens
Q283,What are the recommended roles within the composition of the PHERRT?,"The composition of the PHERRT, as outlined in Section 4.1.1, should have at least the following roles: IDSR Coordinator (Team Leader), clinician/nurse, IPC Coordinator, community health nurse, surveillance officer, epidemiologist, data manager, laboratory personnel, environmental health officer, veterinary/livestock/wildlife officer, health promotion officer, mental health coordinator, health services administrator, pharmacist, and others based on specific characteristics of the outbreak.",TG Booklet 3,232-247,"PHERRT Composition, Roles, IDSR Coordinator, Clinicians, Nurses, IPC Coordinator, Community Health Nurse, Surveillance Officer, Epidemiologist, Data Manager, Laboratory Personnel, Environmental Health Officer, Veterinary Officer, Health Promotion Officer, Mental Health Coordinator, Health Services Administrator, Pharmacist"
Q716,"What are the standard case definitions for Anthrax in humans, both for suspected and confirmed cases?","Suspected cases involve specific clinical forms, and confirmed cases are defined by laboratory confirmation through isolation of B. anthracis or other supportive laboratory tests.",TG Booklet 6,136,"Anthrax Case Definitions: Suspected, Confirmed"
Q463,"How does conducting a register review contribute to outbreak investigation activities, and what steps are involved in the process?","Conducting a register review contributes to outbreak investigation by identifying suspected cases meeting standard case definitions. Steps involved include meeting with health facility staff, arranging the review, identifying information sources, checking registers for essential data, line-listing suspected cases, providing feedback to health facility staff, and reporting suspected cases to the next level. This process aids in understanding outbreak dynamics and strengthens case management and prevention efforts.",TG Booklet 3,"419, 425-444","Register Review Contribution, Outbreak Investigation, Identifying Suspected Cases, Case Definitions, Health Facility Staff, Record Review, Line-listing, Feedback, Reporting"
Q394,Why is the reconstruction of a transmission tree important in outbreak investigations?,"Reconstruction of a transmission tree, using information from line lists, timeline of dates of illness or contact, field investigations, and rapid risk assessment, helps document routes of transmission in a geographical area. It enables understanding the spread of the disease and planning interventions (373).",TG Booklet 3,373,"Transmission Tree Reconstruction, Routes Of Transmission, Geographic Area, Understanding Spread, Planning Interventions"
Q1045,How do the surveillance goals for acute flaccid paralysis (AFP) in the context of polio eradication differ from the surveillance goals for pneumonic plague?,"AFP surveillance targets 1 case per year per 100,000 population aged less than 15 years to provide certification of polio eradication. Pneumonic plague surveillance aims to detect all cases promptly to eliminate preventable deaths.",TG Booklet 6,"259, 260","Surveillance Goals, Acute Flaccid Paralysis, Pneumonic Plague"
Q421,"What is the role of the ministry responsible for security in enforcing control measures by law during an outbreak, and why is their involvement necessary?",The ministry responsible for security can assist in enforcing control measures by law. Involvement is necessary to ensure effective enforcement and compliance with measures aimed at preventing and controlling the outbreak.,TG Booklet 3,379,"Ministry For Security, Enforcement, Control Measures, Law, Involvement, Compliance, Prevention, Control"
Q752,"Which laboratory tests are used for the confirmation of Buruli ulcer (BU) cases, and what specimens are collected for these tests?","Laboratory tests include Ziehl-Neelsen stain, culture, PCR, histopathology, and mycolactone detection. Specimens collected include smears, fine needle aspirations (FNAs), and biopsy specimens.",TG Booklet 6,152,BU Confirmation: Laboratory Tests And Specimens
Q645,"Is SIMEX an abbreviation mentioned in the TG, and what does it stand for?",Simulation Exercise,TG Booklet 6,106,Simulation Exercise
Q692,Compare the potential severe sequelae for chronic hepatitis B and chronic hepatitis C.,Hepatitis B: Cirrhosis or hepatocellular carcinoma (15-25% may die prematurely). Hepatitis C: Cirrhosis (5-20% may develop) with a risk of hepatocellular carcinoma.,TG Booklet 6,125,Hepatitis B: Cirrhosis Or Hepatocellular Carcinoma (15-25% May Die Prematurely). Hepatitis C: Cirrhosis (5-20% May Develop) With A Risk Of Hepatocellular Carcinoma.
Q508,Consider the scenario described in Annex 4J. What role does the 30-year-old male nurse (case 2) play in the outbreak of the respiratory illness?,"The male nurse, being in close proximity to the first case, becomes a secondary case contributing to the chain of transmission within the CCU at Neno District Hospital.",TG Booklet 3,477,"Nurse's Role, Respiratory Illness Outbreak, Secondary Case, Transmission Dynamics, CCU, Neno District Hospital"
Q1240,Which attributes are important for assessing the quality of the surveillance system?,"Important attributes for assessing the quality of the surveillance system include usefulness, simplicity, acceptability, representativeness, data quality, and others summarized in the table and the updated framework for evaluating surveillance systems.",TG Booklet 4,247-251,"Quality Assessment, Surveillance System, Attributes, Usefulness, Simplicity, Acceptability, Representativeness, Data Quality"
Q573,Is there a Community-Based Surveillance (CBS) Suspected Diseases and Public Health Events Monthly Log Sheet available in the TG?,"Yes, Page 265 of TG Booklet 6 Section 11",TG Booklet 6,87,"TG, Community-based Surveillance Monthly Log Sheet, Page 265, Booklet 6, Section 11"
Q1157,Why is dedicated technical oversight needed at the central/national level during humanitarian crises?,"Dedicated technical oversight is needed to ensure effective coordination of surveillance and outbreak response activities, and to guide the response in crisis-affected populations.",TG Booklet 5,128-130,"Technical Oversight, Central/national Level, Humanitarian Crises, Coordination, Surveillance, Outbreak Response, Crisis-affected Populations"
Q1232,Why is it important to monitor the completeness of surveillance data?,"Monitoring the completeness of surveillance data is important because it impacts the quality of the surveillance data and the effectiveness of public health actions, ensuring that all required variables are collected, registered, validated, and compiled.",TG Booklet 4,236-240,"Importance, Completeness Monitoring, Surveillance Data, Data Quality, Public Health Actions, Variable Collection, Registration, Validation, Compilation"
Q1091,Where does the IDSR strategy aim to improve public health surveillance and response?,"The IDSR strategy aims to improve public health surveillance and response at the community, health facility, district, and national levels.",TG Booklet 1,102,"IDSR, Community, Health Facility, District, National Level"
Q211,Give an example of how to calculate the fatality rate?,Calculate the total number of deaths. Divide the total number of deaths by the total number of reported cases. Multiply the result by 100 to express it as a percentage. In the provided example with measles data: Case Fatality Rate (CFR)=(5/78)×100≈6%,TG Booklet 2,874-877,"Fatality Rate, Total Number Of Deaths, Reported Cases, Percentage, Measles, CFR"
Q589,"What does CHO stand for, and where can I find its meaning in the TG?",County Health Officer,TG Booklet 6,106,"CHO, County Health Officer, TG Meaning"
Q101,What is emphasized for ideal information sharing within and between sectors under the One Health approach?,"Interoperable and interconnected platforms are emphasized, strengthening information systems within and between human, animal, and environmental sectors for enhanced real-time information sharing.",TG Booklet 2,653,"One Health Approach, Interoperable, Information Sharing, Human, Animal, Environmental Sectors"
Q899,"How are results interpreted for lymphatic filariasis, and where can additional information be found?","Positive results indicate the presence of W. bancrofti microfilariae or filarial antigen. Additional information can be found in WHO references, including monitoring and epidemiological assessment of the elimination program.",TG Booklet 6,204,"Results Interpretation, Lymphatic Filariasis, Microfilariae, Filarial Antigen Presence, WHO References, Monitoring, Epidemiological Assessment"
Q611,"What does HPO stand for, and is it explained in the TG?",Health Promotion Officer,TG Booklet 6,106,Health Promotion Officer
Q354,Compare the roles of the District Public Health Emergency Rapid Response Team (PHERRT) and the investigation team.,"The District Public Health Emergency Rapid Response Team (PHERRT) is a technical, multi-disciplinary team available for quick mobilization and deployment to support the field response to a suspected or confirmed outbreak or event. The investigation team, on the other hand, is formed to gather essential information for investigating the outbreak and implementing an appropriate response.",TG Booklet 3,"219, 230, 249","PHERRT Roles, Investigation Team, Technical Team, Multi-disciplinary, Quick Mobilization, Deployment, Field Response, Outbreak, Event"
Q825,"Which specific diabetes type accounts for 10% of cases, and why is it essential to differentiate between the types for effective management?",Type 1 diabetes accounts for 10% of cases. Differentiation is crucial for tailored treatment approaches since management strategies differ between Type 1 and Type 2 diabetes.,TG Booklet 6,165,Diabetes Type Accounting For 10% Of Cases
Q806,"Why is it important to detect Chikungunya sporadic cases and outbreaks early, and who should be involved in improving prevention strategies?","Early detection is vital to provide timely treatment and prevent the spread of Chikungunya. Involvement of various stakeholders, including health facilities, communities, and health districts, is crucial in improving prevention strategies.",TG Booklet 6,"154, 155",Chikungunya Early Detection And Prevention Improvement
Q1156,Who provides support to the Ministry of Health for data collection and analysis during humanitarian crises?,"The IDSR unit within the Ministry of Health, with support from WHO and partners, provides support for data collection and analysis during humanitarian crises.",TG Booklet 5,128,"Support Providers, Ministry Of Health, Data Collection, Analysis, Humanitarian Crises, IDSR Unit, WHO, Partners"
Q1226,"How does the timeliness of immediate notification, weekly reporting, and monthly reporting contribute to the overall effectiveness of IDSR?","The timeliness of immediate notification, weekly reporting, and monthly reporting contributes to the overall effectiveness of IDSR by ensuring prompt outbreak detection and response, preventing widespread outbreaks, and providing accurate and timely public health information.",TG Booklet 4,"213-217, 219-220","Timeliness, Immediate Notification, Weekly Reporting, Monthly Reporting, Effectiveness, IDSR, Prompt Outbreak Detection, Response, Widespread Outbreaks Prevention, Public Health Information"
Q399,"How can a transmission tree be drawn, and what information is required for its construction?","A transmission tree is drawn starting with the index case and is updated frequently. Information from line lists, a review of the timeline of dates of illness or contact with other cases, field investigations, and rapid risk assessment is required for its construction. It documents routes of transmission in a given geographical area and aids in understanding the spread of the disease (373).",TG Booklet 3,373,"Transmission Tree Construction, Index Case, Line Lists, Timeline, Field Investigations, Rapid Risk Assessment, Geographic Area, Spread Understanding"
Q909,What is considered low birth weight for a newborn?,A newborn weighing less than 2500 grams (2.5 kg or 5.5 lbs).,TG Booklet 6,220,"Low Birth Weight, Newborn, Weight Criteria"
Q929,What are the major causes of maternal deaths globally?,"Severe bleeding, infections, hypertensive disorders in pregnancy (eclampsia), and obstructed labor are the major causes of maternal deaths globally. Complications after unsafe abortion contribute to 13% of maternal deaths.",TG Booklet 6,224,"Maternal Death Causes, Severe Bleeding, Infections, Hypertensive Disorders, Eclampsia, Obstructed Labor, Unsafe Abortion Complications"
Q346,How should cases in isolation be managed?,Cases in isolation should be managed using standard case management and infection prevention and control guidelines. Ensure that cases in isolation units have access to facilities like water and sanitary facilities.,TG Booklet 3,299,"Case Management, Isolation, Standard Guidelines, Infection Prevention, Control, Facilities Access"
Q1001,How are new HIV/AIDS cases defined?,"New HIV/AIDS cases are defined using either Bangui or Abidjan HIV/AIDS case definitions, requiring positive ELISA and rapid tests for confirmation.",TG Booklet 6,239,"HIV/AIDS Case Definition, Bangui, Abidjan, HIV/AIDS, ELISA, Rapid Tests, Confirmation"
Q1118,When should an Enhanced IDSR system be established?,"An Enhanced IDSR system should be established during humanitarian emergencies to address the increased risk of disease due to population displacement, constrained access to basic needs, and disruption of health services.",TG Booklet 5,82-84,"Enhanced IDSR, Humanitarian Emergencies, Population Displacement, Disease Risk, Health Service Disruption"
Q962,How should data on measles cases and deaths be analyzed?,"Data should be analyzed by graphing weekly cases and deaths over time, plotting the location of case households, and counting total cases by age group and immunization status. Constructing an epidemic curve for outbreak cases is crucial.",TG Booklet 6,226,"Measles Data Analysis, Weekly Cases, Deaths, Location Plotting, Age Group, Immunization Status, Epidemic Curve"
Q642,"Is SARS an abbreviation mentioned in the TG, and what does it stand for?",Severe Acute Respiratory Syndrome,TG Booklet 6,106,Severe Acute Respiratory Syndrome
Q889,"Contrast the recommended laboratory testing procedures for influenza caused by a new subtype with those for ILI. Identify the specific differences in specimen collection, testing methods, and handling.","Influenza caused by a new subtype recommends RT-PCR for sensitivity and virus culture for detailed characterization. ILI focuses on detecting influenza virus using RT-PCR, with specimen collection including nasal swabs, nasopharyngeal aspirates, and more. Both stress biosafety measures.",TG Booklet 6,"192, 195","Laboratory Testing Contrast, New Subtype Influenza Vs ILI, RT-PCR, Virus Culture, Specimen Collection, Nasal Swab, Nasopharyngeal Aspirate, Biosafety Measures"
Q1131,Who is involved in the early warning and response system?,"People from functional static or mobile health facilities/clinics are involved in the early warning and response system, responsible for various surveillance activities including the collection, investigation, reporting, analysis, and dissemination of information.",TG Booklet 5,96,"Early Warning And Response System, Health Facilities, Clinics, Surveillance Activities, Information Collection, Investigation, Reporting, Analysis, Dissemination"
Q498,How is an analytical study designed to test hypotheses?,"An analytical study is designed to test hypotheses by using a case-control study design. In the example study, potential exposures to cholera are investigated. The study analyzes associations, such as the consumption of cold cassava leaves, and calculates odds ratios to assess the likelihood of having cholera. Statistical significance is determined, providing insights into the factors contributing to the occurrence of the disease and guiding further public health actions.",TG Booklet 3,471,"Analytical Study Design, Hypotheses Testing, Cholera Potential Exposures, Case-control Study, Statistical Analysis, Risk Factor Identification"
Q345,What should be done to isolate cases based on the case definition?,"Use the case definition to isolate cases. Isolation is crucial in limiting the spread of the disease and ensuring healthcare facilities remain open. Immediate isolation may be necessary, and cases in isolation units should have access to facilities like water and sanitation. Standard case management and infection prevention and control guidelines should be followed.",TG Booklet 3,299,"Case Isolation, Case Definition, Disease Spread Limitation, Healthcare Facilities, Isolation Units, Water, Sanitation, Case Management, Infection Prevention"
Q1005,When are HIV test results usually available?,"HIV testing is highly regulated, and results are usually available within one week from arrival in the laboratory.",TG Booklet 6,239,"HIV Test Results, Availability, Laboratory Regulation"
